Index,City ID,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,1337619,Ugoofaaru,98,MV,1594512798,71,5.67,73.0,28.47,2.42
77,1490085,Tarko-Sale,42,RU,1594512878,70,64.92,77.78,15.0,3.34
78,1264976,Leh,71,IN,1594513025,38,34.17,77.58,13.57,2.2
79,3471422,Arroio Grande,64,BR,1594513026,68,-32.24,-53.09,8.89,0.87
80,4362001,Mayo,40,US,1594512760,54,38.89,-76.51,29.0,3.6
81,1486321,Yar-Sale,100,RU,1594512786,60,66.83,70.83,13.74,0.16
82,2618795,Klaksvík,93,FO,1594512855,100,62.23,-6.59,10.0,3.6
83,1015776,Bredasdorp,0,ZA,1594512760,75,-34.53,20.04,8.0,2.6
84,6165406,Thompson,75,CA,1594512800,82,55.74,-97.86,16.0,2.6
85,1214488,Meulaboh,100,ID,1594512734,86,4.14,96.13,24.2,1.89
86,893485,Chiredzi,0,ZW,1594513030,32,-21.05,31.67,14.42,1.17
87,113508,Takāb,23,IR,1594512944,65,36.4,47.11,16.6,1.41
88,745697,Hayrabolu,0,TR,1594513031,94,41.21,27.11,20.0,3.1
89,4020109,Atuona,29,PF,1594512702,79,-9.8,-139.03,26.13,8.15
90,1859307,Kitakyushu,75,JP,1594513032,83,33.83,130.83,24.0,2.1
91,2012530,Zhigansk,65,RU,1594512765,93,66.77,123.37,16.57,10.06
92,2208248,Kaitangata,69,NZ,1594512746,63,-46.28,169.85,10.0,7.6
93,1106677,Bambous Virieux,40,MU,1594512721,77,-20.34,57.76,22.22,7.2
94,609906,Fort-Shevchenko,32,KZ,1594513033,58,44.51,50.26,28.32,6.27
95,934649,Cap Malheureux,35,MU,1594512929,67,-19.98,57.61,22.22,4.02
96,5563839,Fortuna,40,US,1594512852,63,40.6,-124.16,19.44,7.2
97,3453478,Pitanga,23,BR,1594513034,94,-24.76,-51.76,14.25,1.34
98,1806840,Huilong,100,CN,1594513035,97,31.81,121.66,27.22,0.89
99,1625908,Sungai Raya,12,ID,1594513035,83,0.7,108.9,25.81,1.55
100,739636,Şile,0,TR,1594513035,72,41.18,29.61,23.33,5.72
101,4683416,Corpus Christi,20,US,1594512991,70,27.8,-97.4,31.0,6.2
102,6185377,Yellowknife,75,CA,1594512739,49,62.46,-114.35,23.33,4.6
103,5847411,Kahului,20,US,1594512625,43,20.89,-156.47,32.0,11.3
104,1855540,Naze,75,JP,1594512767,89,28.37,129.48,30.0,4.1
105,2433055,Dourbali,49,TD,1594513036,70,11.81,15.86,26.63,1.73
106,1277949,Badvel,100,IN,1594513037,74,14.75,79.05,26.97,3.47
107,2171099,Codrington,13,AU,1594512770,86,-38.27,141.97,10.51,1.63
108,5850554,Makakilo City,75,US,1594512751,48,21.35,-158.09,31.0,3.6
109,6137462,Saint-Augustin,46,CA,1594512796,83,51.23,-58.65,17.56,9.34
110,5110365,Broome,90,US,1594513038,88,42.25,-75.83,23.33,8.7
111,5386035,Rancho Palos Verdes,5,US,1594512964,37,33.74,-118.39,28.89,7.7
112,104515,Makkah al Mukarramah,5,SA,1594513038,17,21.43,39.83,28.04,1.97
113,2063042,Port Hedland,0,AU,1594512806,25,-20.32,118.57,17.0,7.7
114,5861897,Fairbanks,20,US,1594512499,37,64.84,-147.72,21.11,3.1
115,2150163,Sawtell,75,AU,1594513039,77,-30.38,153.1,18.0,2.6
116,1649150,Bengkulu,54,ID,1594512760,86,-3.8,102.27,24.19,1.54
117,6096551,Pangnirtung,83,CA,1594512792,54,66.15,-65.71,11.36,0.71
118,3671540,Puerto Berrío,46,CO,1594513040,75,6.49,-74.4,26.07,0.8
119,3393922,Nísia Floresta,75,BR,1594513040,100,-6.09,-35.21,22.0,2.1
120,4031574,Provideniya,0,RU,1594512740,51,64.38,-173.3,13.61,1.45
121,3466165,Cidreira,100,BR,1594512713,87,-30.18,-50.21,13.36,2.55
122,932960,Werda,0,BW,1594513041,68,-25.27,23.28,4.1,2.67
123,3893726,Constitución,98,CL,1594512739,72,-35.33,-72.42,9.35,2.12
124,986717,Kruisfontein,36,ZA,1594512708,66,-34.0,24.73,7.3,2.9
125,2122605,Okhotsk,31,RU,1594513042,69,59.38,143.3,18.32,2.88
126,2980080,Saint-François,57,FR,1594513042,54,46.42,3.91,14.44,1.5
127,5855927,Hilo,75,US,1594512452,65,19.73,-155.09,28.0,3.6
128,4031637,Lavrentiya,13,RU,1594512712,46,65.58,-171.0,13.75,3.39
129,161616,Balkanabat,17,TM,1594513044,54,39.51,54.37,26.34,4.54
130,3389822,Salinópolis,53,BR,1594513044,81,-0.61,-47.36,26.58,5.38
131,476046,Velikooktyabr'skiy,70,RU,1594513044,83,57.43,33.82,11.54,2.06
132,333772,Jimma,56,ET,1594513045,89,7.67,36.83,14.09,0.61
133,1710519,Isabela,75,PH,1594513045,83,6.71,121.97,27.0,3.1
134,3674676,Mitú,97,CO,1594513046,96,1.2,-70.17,23.0,0.44
135,3470059,Bernardino de Campos,0,BR,1594513046,71,-23.01,-49.47,17.61,2.28
136,258175,Lixouri,0,GR,1594513046,80,38.2,20.43,22.61,2.68
137,5962442,Goderich,69,CA,1594512893,84,43.75,-81.72,23.89,4.47
138,2632287,Dalvik,20,IS,1594512960,81,65.97,-18.53,11.0,1.5
139,3664980,Boa Vista,75,BR,1594512793,88,2.82,-60.67,26.0,2.1
140,2729907,Longyearbyen,40,SJ,1594512873,70,78.22,15.64,7.0,10.3
141,3466988,Caratinga,8,BR,1594513048,90,-19.79,-42.14,16.33,1.21
142,2686469,Örnsköldsvik,89,SE,1594512740,87,63.29,18.72,10.0,3.6
143,286621,Salalah,90,OM,1594512797,100,17.02,54.09,27.0,2.6
144,777019,Vardø,17,NO,1594512751,89,70.37,31.11,8.28,5.59
145,5866583,Saint Paul Harbor,90,US,1594512610,63,57.79,-152.41,18.0,2.1
146,4470244,Havelock,40,US,1594512785,79,34.88,-76.9,29.0,4.6
147,5866063,Kenai,40,US,1594512860,67,60.55,-151.26,18.0,6.7
148,4033779,Punaauia,75,PF,1594513050,54,-17.63,-149.6,28.0,3.1
149,2108502,Honiara,40,SB,1594512896,79,-9.43,159.95,29.0,3.1
150,1513491,Yangi Marg`ilon,29,UZ,1594512818,43,40.43,71.72,23.0,3.1
151,2277060,Gbarnga,96,LR,1594513050,97,7.0,-9.47,20.54,1.24
152,218680,Boende,98,CD,1594513050,89,-0.22,20.87,22.66,0.85
153,2023350,Kabansk,20,RU,1594513051,88,52.05,106.65,18.0,0.94
154,2017658,Preobrazheniye,19,RU,1594513051,70,42.9,133.91,19.18,1.0
155,1715015,Dicabisagan,28,PH,1594513051,67,17.08,122.42,29.54,1.04
156,3466704,Castro,0,BR,1594512789,77,-24.79,-50.01,15.25,3.27
157,3985168,San Patricio,75,MX,1594512861,79,19.22,-104.7,31.0,2.6
158,4535961,Enid,1,US,1594513052,56,36.4,-97.88,36.0,5.1
159,2057087,Kupang,20,ID,1594512922,65,-10.17,123.58,28.0,7.2
160,3137469,Sørland,90,NO,1594513053,77,67.67,12.69,11.11,8.91
161,2132606,Samarai,33,PG,1594512933,88,-10.62,150.67,25.95,5.68
162,2017155,Saskylakh,68,RU,1594512772,76,71.92,114.08,19.89,6.58
163,1623197,Tual,84,ID,1594512860,83,-5.67,132.75,26.33,9.52
164,962367,Richards Bay,52,ZA,1594513054,56,-28.78,32.04,16.52,9.15
165,1714733,Dingle,100,PH,1594512961,78,11.0,122.67,27.6,0.29
166,2038067,Chifeng,100,CN,1594513055,64,42.27,118.96,24.16,1.81
167,184921,Mwingi,64,KE,1594513055,86,-0.93,38.06,17.1,2.73
168,3838859,Río Gallegos,40,AR,1594512857,86,-51.62,-69.22,-1.0,6.7
169,3652764,Puerto Ayora,75,EC,1594512713,93,-0.74,-90.35,19.44,0.89
170,5423573,Grand Junction,1,US,1594513056,3,39.06,-108.55,38.33,7.7
171,1258406,Rāpar,100,IN,1594513056,81,23.57,70.63,28.43,7.61
172,1273409,Dātāganj,19,IN,1594513056,63,28.03,79.4,30.97,0.3
173,359783,Assiut,0,EG,1594512823,39,27.18,31.18,26.0,5.1
174,5847486,Kailua,75,US,1594513057,58,21.4,-157.74,31.0,9.3
175,3404558,Cabedelo,75,BR,1594513057,100,-6.98,-34.83,22.0,1.5
176,98112,Balad,0,IQ,1594513057,14,34.02,44.15,31.98,5.49
177,3887344,Illapel,76,CL,1594513058,72,-31.63,-71.17,13.43,0.94
178,1128239,Rūdbār,0,AF,1594512793,25,30.15,62.6,26.67,5.71
179,1308415,Mudon,100,MM,1594513058,91,16.26,97.72,25.74,1.35
180,2156927,Moree,90,AU,1594512826,100,-29.47,149.85,12.0,2.1
181,3921355,Challapata,1,BO,1594513047,59,-18.9,-66.77,1.82,1.14
182,2137773,Vao,77,NC,1594512702,77,-22.67,167.48,20.99,8.66
